Table 1,ANZSOC Division,Year Month,Victimisations, Month Year,ANZSOC Group,ANZSOC Subdivision,Area Unit,Location Type,Locn Type Division,Meshblock,Number of Records,Occurrence Day Of Week,Occurrence Hour Of Day,Territorial Authority,Weapon,Year Month (copy 2)
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Hamilton Central.,.,Community Location,908600,1,Sunday,18,Hamilton City.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Mayfair.,.,Community Location,1498500,1,Sunday,19,Hastings District.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Norsewood-Herbertville.,.,Community Location,1537401,1,Sunday,19,Tararua District.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Otara North.,.,Community Location,704200,1,Sunday,20,Auckland.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,January 2024,1,January 2024,Other serious assault,Serious assault,Kuirau.,.,Community Location,1232000,1,Sunday,21,Rotorua District.,Blunt Instrument N.F.D.,January 2024
1 Victimisation Time and Place,Assault,January 2024,1,January 2024,Other serious assault,Serious assault,Willis Street-Cambridge Terrace.,.,Community Location,2136000,1,Sunday,21,Wellington City.,Blunt Instrument N.F.D.,January 2024
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Prestons.,.,Community Location,2503701,1,Sunday,23,Christchurch City.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,January 2024,2,January 2024,Other serious assault,Serious assault,Tauranga South.,.,Community Location,1169900,1,Sunday,17,Tauranga City.,Blunt Instrument N.F.D.,January 2024
1 Victimisation Time and Place,Assault,January 2024,2,January 2024,Other serious assault,Serious assault,999999,.,Community Location,-420,1,Sunday,23,Gore District.,Blunt Instrument N.F.D.,January 2024
1 Victimisation Time and Place,Assault,February 2023,3,February 2023,Other serious assault,Serious assault,Oaklands East.,.,Community Location,2482000,1,Sunday,18,Christchurch City.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Oratia.,.,Community Location,278510,1,Thursday,2,Auckland.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Te Kuiti.,.,Community Location,1005300,1,Thursday,8,Waitomo District.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,January 2024,1,January 2024,Other serious assault,Serious assault,Shirley East.,.,Community Location,2597500,1,Thursday,10,Christchurch City.,Blunt Instrument N.F.D.,January 2024
1 Victimisation Time and Place,Assault,January 2024,1,January 2024,Other serious assault,Serious assault,Hastings Central.,.,Community Location,1492400,1,Thursday,10,Hastings District.,Blunt Instrument N.F.D.,January 2024
1 Victimisation Time and Place,Assault,February 2023,1,February 2023,Other serious assault,Serious assault,Turangi.,.,Community Location,1287100,1,Thursday,11,Taupo District.,Blunt Instrument N.F.D.,February 2023
1 Victimisation Time and Place,Assault,January 2024,1,January 2024,Other serious assault,Serious assault,999999,.,Community Location,-258,1,Thursday,11,Hastings District.,Blunt Instrument N.F.D.,January 2024
